respondent_id,age,years_education,highest_degree,bachelors_or_more,annual_family_income,employment_status,sex,race
3267,25.0,0.0,less than high school,0.0,10286.25,working part time,female,white
3268,49.0,12.0,high school,0.0,42727.5,working full time,male,white
3269,58.0,14.0,associate/junior college,0.0,17407.5,working full time,male,white
3271,28.0,8.0,less than high school,0.0,28485.0,working full time,female,white
3277,56.0,13.0,high school,0.0,15033.75,working full time,female,white
3283,39.0,16.0,associate/junior college,0.0,8703.75,working full time,female,white
3287,26.0,12.0,high school,0.0,34815.0,working full time,male,white
3288,39.0,19.0,graduate,1.0,158424.85359,working full time,male,white
3291,48.0,16.0,bachelor's,1.0,42727.5,working full time,male,white
3292,45.0,18.0,bachelor's,1.0,75960.0,working full time,female,white
3294,50.0,19.0,graduate,1.0,101280.0,working full time,female,white
3295,36.0,12.0,high school,0.0,20572.5,working full time,female,black
3296,26.0,16.0,bachelor's,1.0,34815.0,working full time,male,white
3298,39.0,12.0,high school,0.0,20572.5,working full time,male,black
3300,28.0,16.0,bachelor's,1.0,63300.0,working full time,female,white
3302,25.0,16.0,bachelor's,1.0,28485.0,working full time,female,white
3303,51.0,12.0,high school,0.0,15033.75,working full time,female,other
3305,29.0,8.0,less than high school,0.0,10286.25,working full time,female,black
3307,46.0,16.0,associate/junior college,0.0,23737.5,working full time,female,white
3309,44.0,20.0,graduate,1.0,75960.0,working full time,female,white
3310,49.0,14.0,associate/junior college,0.0,52222.5,working full time,female,white
3311,48.0,16.0,bachelor's,1.0,101280.0,working full time,male,white
3312,31.0,17.0,bachelor's,1.0,42727.5,working full time,female,white
3313,38.0,12.0,high school,0.0,17407.5,working full time,female,white
3314,45.0,20.0,graduate,1.0,75960.0,working full time,female,white
3315,34.0,15.0,associate/junior college,0.0,23737.5,working full time,male,white
3316,55.0,11.0,less than high school,0.0,42727.5,working full time,male,white
3317,59.0,16.0,bachelor's,1.0,15033.75,working full time,female,black
3318,56.0,13.0,high school,0.0,34815.0,working full time,male,white
3319,47.0,12.0,high school,0.0,52222.5,working full time,male,white
3320,47.0,12.0,high school,0.0,17407.5,working part time,male,black
3323,30.0,12.0,high school,0.0,42727.5,temporarily not at work,female,white
3324,49.0,12.0,high school,0.0,34815.0,working full time,male,white
3325,38.0,14.0,high school,0.0,15033.75,working full time,female,white
3326,57.0,18.0,bachelor's,1.0,10286.25,working part time,female,white
3331,27.0,16.0,bachelor's,1.0,23737.5,working full time,male,white
3335,40.0,18.0,graduate,1.0,52222.5,working full time,female,white
3336,61.0,13.0,high school,0.0,42727.5,working full time,female,white
3337,36.0,11.0,less than high school,0.0,28485.0,working full time,male,white
3339,35.0,14.0,high school,0.0,17407.5,working part time,male,white
3341,56.0,16.0,bachelor's,1.0,158424.85359,working full time,male,white
3344,48.0,14.0,high school,0.0,158424.85359,working full time,female,white
3345,33.0,18.0,bachelor's,1.0,42727.5,working full time,female,white
3346,56.0,14.0,high school,0.0,42727.5,working full time,male,white
3347,40.0,18.0,bachelor's,1.0,34815.0,working full time,male,white
3348,60.0,13.0,high school,0.0,34815.0,working full time,male,white
3350,62.0,7.0,less than high school,0.0,17407.5,working part time,female,white
3355,59.0,12.0,high school,0.0,42727.5,working full time,female,white
3356,62.0,17.0,bachelor's,1.0,52222.5,working part time,male,white
